kanji,eng,kunyomi,onyomi,ex1,ex2,ex3
色,color,['いろ'],['ショク|シキ'],"['特色', 'とくしょく', 'characteristic']","['黄色', 'きいろ', 'yellow']","['色々', 'いろいろ', 'various']"
走,run,['はし.る'],['ソウ'],"['走る', 'はしる', 'to run']","['走り書き', 'はしりがき', 'scribble']",
秋,autumn,['あき|とき'],['シュウ'],"['秋', 'あき', 'autumn']","['秋風', 'あきかぜ', 'autumn breeze']","['春秋', 'しゅんじゅう', 'spring and autumn']"
医,doctor,['い.やす|い.する|くすし'],['イ'],"['医者', 'いしゃ', 'doctor']","['医学', 'いがく', 'medical science']","['医大', 'いだい', 'medical university']"
仕,serve,['つか.える'],['シ|ジ'],"['仕事', 'しごと', 'serve']","['仕える', 'つかえる', 'to serve']",
夏,summer,['なつ'],['カ|ガ|ゲ'],"['夏休み', 'なつやすみ', 'summer holiday']","['夏時間', 'なつじかん', 'summertime']",
去,leave,['さ.る|-さ.る'],['キョ|コ'],"['去る', 'さる', 'to leave']","['去年', 'きょねん', 'last year']",
味,flavor,['あじ|あじ.わう'],['ミ'],"['意味', 'いみ', 'meaning']","['持ち味', 'もちあじ', 'unique flavour']","['味わう', 'あじわう', 'to taste']"
犬,dog,['いぬ|いぬ-'],['ケン'],"['犬', 'いぬ', 'dog']","['野犬', 'やけん', 'stray dog']",
古,{EMPTY},['ふる.い|ふる-|-ふる.す'],['コ'],,,
写,copy,['うつ.す|うつ.る|うつ-|うつ.し'],['シャ|ジャ'],"['写真', 'しゃしん', 'photograph']","['写す', 'うつす', 'to copy']",
買,{EMPTY},['か.う'],['バイ'],,,
週,{EMPTY},[],['シュウ'],,,
私,me,['わたくし|わたし'],['シ'],"['私', 'わたし', 'me, I']","['私学', 'しがく', 'private school']","['私見', 'しけん', 'personal opinion']"
注,pour,['そそ.ぐ|さ.す|つ.ぐ'],['チュウ'],"['注ぐ', 'そそぐ', 'to pour']","['注文', 'ちゅうもん', 'order']","['注意', 'ちゅうい', 'attention']"
試,test,['こころ.みる|ため.す'],['シ'],"['試合', 'しあい', 'match']","['試験', 'しけん', 'test']","['試食', 'ししょく', 'sampling food']"
悪,bad,['わる.い|わる-|あ.し|にく.い|-にく.い|ああ|いずくに|いずくんぞ|にく.む'],['アク|オ'],"['悪い', 'わるい', 'bad']","['最悪', 'さいあく', 'the worst']","['悪質', 'あくしつ', 'bad quality']"
験,test,['あかし|しるし|ため.す|ためし'],['ケン|ゲン'],"['試験', 'しけん', 'exam']","['体験', 'たいけん', 'personal experience']",
英,England,['はなぶさ'],['エイ'],"['英語', 'えいご', 'English']","['英文', 'えいぶん', 'English sentence']","['英明', 'えいめい', 'intelligent']"
館,building,['やかた|たて'],['カン'],"['図書館', 'としょかん', 'library']","['旅館', 'りょかん', 'Japanese-style inn']","['映画館', 'えいがかん', 'cinema']"
屋,premise,['や'],['オク'],"['屋上', 'おくじょう', 'rooftop']","['居酒屋', 'いざかや', 'bar']",
曜,weekday,[],['ヨウ'],"['曜日', 'ようび', 'day of week']",,
質,quality,['たち|ただ.す|もと|わりふ'],['シツ|シチ|チ'],"['質', 'しつ', 'quality']","['質問', 'しつもん', 'question']","['悪質', 'あくしつ', 'bad quality']"
肉,meat,['しし'],['ニク'],"['肉しゃ', 'にくしゃ', 'butcher']","['豚肉', 'ぶたにく', 'pork']","['肉親', 'にくしん', 'blood relative']"
鳥,bird,['とり'],['チョウ'],"['白鳥', 'はくちょう', 'swan']","['小鳥', 'ことり', 'small bird']","['野鳥', 'やちょう', 'wild bird']"
習,learn,['なら.う|なら.い'],['シュウ|ジュ'],"['習う', 'ならう', 'to learn']","['見習う', 'みならう', 'to follow']",
冬,winter,['ふゆ'],['トウ'],"['冬場', 'ふゆば', 'winter season']","['冬物', 'ふゆもの', 'winter clothing']",
昼,daytime,['ひる'],['チュウ'],"['昼間', 'ひるま', 'daytime']","['昼食', 'ちゅうしょく', 'lunch']",
茶,tea,[],['チャ|サ'],"['お茶', 'おちゃ', 'green tea']","['茶色', 'ちゃいろ', 'tea']","['茶道', 'さどう', 'Tea Ceremony']"
洋,ocean,[],['ヨウ'],"['海洋', 'かいよう', 'ocean']","['西洋', 'せいよう', 'western country']","['洋食', 'ようしょく', 'western meal']"
弟,younger brother,['おとうと'],['テイ|ダイ|デ'],"['弟', 'おとうと', 'younger brother']",,
旅,travel,['たび'],['リョ'],"['旅行', 'りょこう', 'travel']","['旅館', 'りょかん', 'Japanese hotel']","['旅人', 'たびびと', 'traveller']"
牛,cow,['うし'],['ギュウ'],"['牛', 'うし', 'cow']","['牛肉', 'ぎゅうにく', 'beef']","['和牛', 'わぎゅう', 'Japanese beef']"
映,reflect,['うつ.る|うつ.す|は.える|-ば.え'],['エイ'],"['映画', 'えいが', 'movie']","['映る', 'うつる', 'to be reflected']",
兄,older brother,['あに'],['ケイ|キョウ'],"['兄', 'あに', 'older brother']","['父兄', 'ふけい', 'guardians']",
服,clothes,[],['フク'],"['服', 'ふく', 'clothes']","['洋服', 'ようふく', 'western clothes']",
妹,younger sister,['いもうと'],['マイ'],"['姉妹', 'しまい', 'sisters']",,
駅,{EMPTY},[],['エキ'],,,
姉,older sister,['あね|はは'],['シ'],"['お姉さん', 'おねえさん', 'older sister']",,
勉,diligence,['つと.める'],['ベン'],"['勉強', 'べんきょう', 'study']",,
魚,{EMPTY},['うお|さかな|-ざかな'],['ギョ'],,,
借,borrow,['か.りる'],['シャク'],"['借りる', 'かりる', 'to borrow']","['借り物', 'かりもの', 'borrowed thing']","['借金', 'しゃっきん', 'debt']"
飲,{EMPTY},['の.む|-の.み'],['イン|オン'],,,
飯,meal,['めし'],['ハン'],"['赤飯', 'せきはん', 'red rice']","['夕飯', 'ゆうはん', 'evening meal']","['朝ご飯', 'あさごはん', 'breakfast']"
漢,China,[],['カン'],"['漢字', 'かんじ', 'Chinese character']",,
貸,lend,['か.す|か.し-|かし-'],['タイ'],"['貸す', 'かす', 'to lend']","['貸し', 'かし', 'loan']",
堂,public chamber,[],['ドウ'],"['会堂', 'かいどう', 'church']","['本堂', 'ほんどう', 'main temple']",
